LDAP-Display-Name	msDS-IntId	Attribute-ID	
mSMQDigestsMig	0	590790	
mSMQDsService	0	591062	
mSMQDsServices	0	591052	
mSMQEncryptKey	0	590760	
mSMQForeign	0	590758	
mSMQInRoutingServers	0	590753	
mSMQInterval1	0	591132	
mSMQInterval2	0	591133	
mSMQJournal	0	590742	
mSMQJournalQuota	0	590745	
mSMQLabel	0	590746	
mSMQLabelEx	0	591239	
mSMQLongLived	0	590765	
mSMQMigrated	0	590776	
MSMQ-MulticastAddress	0	591538	
mSMQNameStyle	0	590763	
mSMQNt4Flags	0	590788	
mSMQNt4Stub	0	590784	
mSMQOSType	0	590759	
mSMQOutRoutingServers	0	590752	
mSMQOwnerID	0	590749	
mSMQPrevSiteGates	0	591049	
mSMQPrivacyLevel	0	590748	
mSMQQMID	0	590775	
mSMQQueueJournalQuota	0	590787	
mSMQQueueNameExt	0	591067	
mSMQQueueQuota	0	590786	
mSMQQueueType	0	590741	
mSMQQuota	0	590743	
msMQ-Recipient-FormatName	0	591519	
mSMQRoutingService	0	591061	
mSMQRoutingServices	0	591051	
MSMQ-SecuredSource	0	591537	
mSMQServiceType	0	590754	
mSMQServices	0	590774	
mSMQSignCertificates	0	590771	
